IDX,nomeCliente,composition,color,size,certification,brand,designLenght,sport,knittingType
82,Fingerscrossed GmbH,,Black,35-38,Conventional,Fingerscrossed,Crew/Mid Calf,Basic,Half Terry
83,Fingerscrossed GmbH,,Black,43-46,Conventional,Fingerscrossed,Crew/Mid Calf,Basic,Half Terry
84,JLION CLOTHING SL,48% Econyl Polyamide; 48% Polyamide; 4% Elastane,Lazuli Blue/Orange,M (36-40),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
85,JLION CLOTHING SL,48% Econyl Polyamide; 48% Polyamide; 4% Elastane,Seafoam/Bitter Lemon,M (36-40),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
86,JLION CLOTHING SL,48% Econyl Polyamide; 48% Polyamide; 4% Elastane,Black/Pink,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
87,JLION CLOTHING SL,48% Econyl Polyamide; 48% Polyamide; 4% Elastane,Lazuli Blue/Orange,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
88,JLION CLOTHING SL,48% Econyl Polyamide; 48% Polyamide; 4% Elastane,Seafoam/Bitter Lemon,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
89,JLION CLOTHING SL,48% Econyl Polyamide; 48% Polyamide; 4% Elastane,Bitter Lemon/Blue,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
90,JLION CLOTHING SL,48% Econyl Polyamide; 48% Polyamide; 4% Elastane,White/Black,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
91,JLION CLOTHING SL,48% Econyl Polyamide; 48% Polyamide; 4% Elastane,Pink/Beige,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
92,Comfysocks A/S,70% Cotton; 27% Polyamide; 3% Elastane,White,39-42,Conventional,N/A,Liner,Basic,Flat Knit
93,Comfysocks A/S,70% Cotton; 27% Polyamide; 3% Elastane,Black,39-42,Conventional,N/A,Liner,Basic,Flat Knit
94,Comfysocks A/S,71% Cotton; 26% Polyamide; 3% Elastane,White,39-42,Conventional,N/A,Invisible,Basic,Flat Knit
95,Comfysocks A/S,71% Cotton; 26% Polyamide; 3% Elastane,Black,39-42,Conventional,N/A,Invisible,Basic,Flat Knit
96,Devold of Norway AS,52% Merino Wool; 23% Recycled Polyester; 22% Polyamide; 3% Elastane,Black,41-46,Conventional,Devold,Crew/Mid Calf,Basic,Flat Knit
97,Devold of Norway AS,50% Merino Wool; 26% Polyamide; 21% Recycled Polyester; 3% Elastane,Black,41-46,Conventional,Devold,Liner,Basic,Flat Knit
98,Devold of Norway AS,53% Merino Wool; 23% Recycled Polyester; 22% Polyamide; 2% Elastane,Black,41-46,Conventional,Devold,Liner,Basic,Half Terry
99,JLION CLOTHING SL,53% Econyl; 43% Polyamide; 4% Elastane,Black,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Cycling,Flat Knit
100,JLION CLOTHING SL,,Black,M (36-40),Conventional,Jimmy Lion,Crew/Mid Calf,Cycling,Flat Knit
101,JLION CLOTHING SL,49% Econyl; 46% Polyamide; 5% Elastane,Pink,M (36-40),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
102,JLION CLOTHING SL,49% Econyl; 46% Polyamide; 5% Elastane,Pink,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
103,JLION CLOTHING SL,49% Econyl; 46% Polyamide; 5% Elastane,Yellow,M (36-40),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
104,JLION CLOTHING SL,49% Econyl; 46% Polyamide; 5% Elastane,Yellow,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
105,JLION CLOTHING SL,49% Econyl; 46% Polyamide; 5% Elastane,Orange,M (36-40),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
106,JLION CLOTHING SL,49% Econyl; 46% Polyamide; 5% Elastane,Orange,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
107,VAUDE Sport GmbH & Co. KG,,White,39-41,Conventional,Vaude,Crew/Mid Calf,Cycling,Half Terry
108,VAUDE Sport GmbH & Co. KG,72% Recycled Polyamide; 25% Polyamide; 3% Elastane,Black/Black,39-41,Conventional,Vaude,Crew/Mid Calf,Cycling,Half Terry
109,VAUDE Sport GmbH & Co. KG,72% Recycled Polyamide; 25% Polyamide; 3% Elastane,Khaki,39-41,Conventional,Vaude,Crew/Mid Calf,Cycling,Half Terry
110,VAUDE Sport GmbH & Co. KG,72% Recycled Polyamide; 25% Polyamide; 3% Elastane,Cassis uni,39-41,Conventional,Vaude,Crew/Mid Calf,Cycling,Half Terry
111,VAUDE Sport GmbH & Co. KG,72% Recycled Polyamide; 25% Polyamide; 3% Elastane,Nordic Blue,39-41,Conventional,Vaude,Crew/Mid Calf,Cycling,Half Terry
112,Sidas,53% Polyamide; 32% Multifilament Polyamide; 9% Silicone; 5% Elastane; 1% Reflective Yarns,Navy/Grey,42-43,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
113,Sidas,,Black/Grey,42-43,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
114,Sidas,90% Polyamide; 5% Elastane; 4% Silicone; 1% Reflective Yarns,Green/Lilac,42-43,Conventional,Sidas,Ankle/Quarter,Running,Half Terry
115,Sidas,90% Polyamide; 5% Elastane; 4% Silicone; 1% Reflective Yarns,Lilac/Green,42-43,Conventional,Sidas,Ankle/Quarter,Running,Half Terry
116,Sidas,90% Polyamide; 5% Elastane; 4% Silicone; 1% Reflective Yarns,Grey/Black,42-43,Conventional,Sidas,Ankle/Quarter,Running,Half Terry
117,INCYLENCE oHG,73% Recycled Polyamide; 23% Polyamide; 4% Elastane,Rainbow,35-38,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
118,INCYLENCE oHG,73% Recycled Polyamide; 23% Polyamide; 4% Elastane,Rainbow,39-42,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
119,INCYLENCE oHG,73% Recycled Polyamide; 23% Polyamide; 4% Elastane,Rainbow,47-50,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
120,JLION CLOTHING SL,49% Econyl; 46% Polyamide; 5% Elastane,Orange,M (36-40),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
121,JLION CLOTHING SL,49% Econyl; 46% Polyamide; 5% Elastane,Orange,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
122,Compressport International SA,95% Polyamide; 5% Elastane,Black/Red,T1/ 35-38,Conventional,N/A,Crew/Mid Calf,Running,Half Terry
123,Compressport International SA,95% Polyamide; 5% Elastane,Black/Red,T2/ 39-41,Conventional,N/A,Crew/Mid Calf,Running,Half Terry
124,Compressport International SA,95% Polyamide; 5% Elastane,Black/Red,T3/ 42-44,Conventional,N/A,Crew/Mid Calf,Running,Half Terry
125,Compressport International SA,95% Polyamide; 5% Elastane,Black/Red,T4/ 45-48,Conventional,N/A,Crew/Mid Calf,Running,Half Terry
126,VAUDE Sport GmbH & Co. KG,60% Wool; 38% Polyamide; 2% Elastane,Cassis Uni,39-41,Conventional,Vaude,Crew/Mid Calf,Cycling,Half Terry
127,VAUDE Sport GmbH & Co. KG,60% Wool; 38% Polyamide; 2% Elastane,Heron,39-41,Conventional,Vaude,Crew/Mid Calf,Cycling,Half Terry
128,VAUDE Sport GmbH & Co. KG,60% Wool; 38% Polyamide; 2% Elastane,Willow Green,39-41,Conventional,Vaude,Crew/Mid Calf,Cycling,Half Terry
129,VAUDE Sport GmbH & Co. KG,60% Wool; 38% Polyamide; 2% Elastane,Carmine,39-41,Conventional,Vaude,Crew/Mid Calf,Cycling,Half Terry
130,ID Identity,72% Polypropylene; 25% Polyamide; 3% Elastane,Black,37-38,Conventional,ID Identity,Crew/Mid Calf,Running,Flat Knit
131,ID Identity,72% Polypropylene; 25% Polyamide; 3% Elastane,Black,41-42,Conventional,ID Identity,Crew/Mid Calf,Running,Flat Knit
132,ID Identity,72% Polypropylene; 25% Polyamide; 3% Elastane,Black,43-44,Conventional,ID Identity,Crew/Mid Calf,Running,Flat Knit
133,ID Identity,72% Polypropylene; 25% Polyamide; 3% Elastane,Black,35-36,Conventional,ID Identity,Crew/Mid Calf,Running,Flat Knit
134,ID Identity,72% Polypropylene; 25% Polyamide; 3% Elastane,Black,39-40,Conventional,ID Identity,Crew/Mid Calf,Running,Flat Knit
135,ID Identity,72% Polypropylene; 25% Polyamide; 3% Elastane,Black,45-46,Conventional,ID Identity,Crew/Mid Calf,Running,Flat Knit
136,ID Identity,72% Polypropylene; 25% Polyamide; 3% Elastane,Black,47-48,Conventional,ID Identity,Crew/Mid Calf,Running,Flat Knit
137,ID Identity,72% Polypropylene; 25% Polyamide; 3% Elastane,Black,49-50,Conventional,ID Identity,Crew/Mid Calf,Running,Flat Knit
138,ID Identity,72% Polypropylene; 25% Polyamide; 3% Elastane,Black,51-52,Conventional,ID Identity,Crew/Mid Calf,Running,Flat Knit
139,Sidas,55% Merino Wool; 41% Polyamide; 3% Elastane; 1% Silicone,Lemon Curry,L/42-43,Conventional,Sidas,Crew/Mid Calf,Hiking/Trekking,Half Terry
140,Sidas,95% Polyamide; 5% Elastane,White,42-44,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
141,Sidas,95% Polyamide; 5% Elastane,White,42-44,Conventional,Sidas,Ankle/Quarter,Multisports,Half Terry
142,Sidas,95% Polyamide; 5% Elastane,White,42-44,Conventional,Sidas,Liner,Multisports,Half Terry
143,GripGrab ApS,,Black,41-44,Conventional,GripGrab,Crew/Mid Calf,Cycling,Half Terry
144,Sidas,,White,42-44,Sustainable,Sidas,Crew/Mid Calf,Multisports,Half Terry
145,Sidas,,Black,42-44,Sustainable,Sidas,Crew/Mid Calf,Multisports,Half Terry
146,Sidas,,Black,42-44,Conventional,Sidas,Ankle/Quarter,Hiking/Trekking,Half Terry
147,Sidas,34% Polypropylene; 30% Polyamide; 27% Cotton; 5% Silicone; 4% Elastane,Black,XS/35-36,Conventional,Sidas,Crew/Mid Calf,Football,Half Terry
148,Sidas,34% Polypropylene; 30% Polyamide; 27% Cotton; 5% Silicone; 4% Elastane,Black,S/37-38,Conventional,Sidas,Crew/Mid Calf,Football,Half Terry
149,Sidas,34% Polypropylene; 30% Polyamide; 27% Cotton; 5% Silicone; 4% Elastane,Black,SM/39-40,Conventional,Sidas,Crew/Mid Calf,Football,Half Terry
150,Sidas,34% Polypropylene; 30% Polyamide; 27% Cotton; 5% Silicone; 4% Elastane,Black,ML/40-41,Conventional,Sidas,Crew/Mid Calf,Football,Half Terry
151,Sidas,34% Polypropylene; 30% Polyamide; 27% Cotton; 5% Silicone; 4% Elastane,Black,L/42-43,Conventional,Sidas,Crew/Mid Calf,Football,Half Terry
152,Sidas,34% Polypropylene; 30% Polyamide; 27% Cotton; 5% Silicone; 4% Elastane,Black,XL/44-46,Conventional,Sidas,Crew/Mid Calf,Football,Half Terry
153,Sidas,34% Polypropylene; 30% Polyamide; 27% Cotton; 5% Silicone; 4% Elastane,Black,XXL/47-49,Conventional,Sidas,Crew/Mid Calf,Football,Half Terry
154,Sidas,34% Polypropylene; 30% Polyamide; 27% Cotton; 5% Silicone; 4% Elastane,White,L/42-43,Conventional,Sidas,Crew/Mid Calf,Football,Half Terry
155,KIWAMI SARL,50% Polyamide; 39% Polyester; 11% Elastane,Black,35-38,Conventional,Kiwami SARL,Calf Sleeve,Multisports,Flat Knit
156,KIWAMI SARL,50% Polyamide; 39% Polyester; 11% Elastane,Black,39-42,Conventional,Kiwami SARL,Calf Sleeve,Multisports,Flat Knit
157,GripGrab ApS,,Black,41-44,Conventional,GripGrab,Crew/Mid Calf,Cycling,Half Terry
158,Gococo AB,59% Polyamide; 18% Cotton; 18% Polyester; 5% Elastane,Black,35-38,Conventional,n/a,Crew/Mid Calf,Equestrianism,Half Terry
159,Gococo AB,59% Polyamide; 18% Cotton; 18% Polyester; 5% Elastane,Black,35-38,Conventional,n/a,Crew/Mid Calf,Equestrianism,Half Terry
160,Gococo AB,59% Polyamide; 18% Cotton; 18% Polyester; 5% Elastane,Black,35-38,Conventional,n/a,Crew/Mid Calf,Equestrianism,Half Terry
161,WaterNlife ApS,92% Recycled Polyamide; 4% Elastane; 4% Polyamide,Black,35-38,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
162,WaterNlife ApS,,Black,39-42,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
163,WaterNlife ApS,,Black,43-47,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
164,WaterNlife ApS,92% Recycled Polyamide; 4% Elastane; 4% Polyamide,White,35-38,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
165,WaterNlife ApS,,White,39-42,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
166,WaterNlife ApS,,White,43-47,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
167,WaterNlife ApS,,Grey,35-38,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
168,WaterNlife ApS,,Grey,39-42,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
169,WaterNlife ApS,,Grey,43-47,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
170,WaterNlife ApS,92% Recycled Polyamide; 4% Elastane; 4% Polyamide,Caribbean Blue,35-38,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
171,WaterNlife ApS,,Caribbean Blue,39-42,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
172,WaterNlife ApS,,Caribbean Blue,43-47,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
173,WaterNlife ApS,92% Recycled Polyamide; 4% Elastane; 4% Polyamide,Blue/Neon Yellow,35-38,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
174,WaterNlife ApS,92% Recycled Polyamide; 4% Elastane; 4% Polyamide,Blue/Neon Yellow,39-42,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
175,WaterNlife ApS,92% Recycled Polyamide; 4% Elastane; 4% Polyamide,Blue/Neon Yellow,43-47,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
176,WaterNlife ApS,,Blue/Orange,43-47,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
177,WaterNlife ApS,,Black,35-38,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
178,WaterNlife ApS,,Black,39-42,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
179,WaterNlife ApS,92% Recycled Polyamide; 4% Elastane; 4% Polyamide,Black,43-47,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
180,WaterNlife ApS,,White,43-47,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
181,WaterNlife ApS,87% Recycled Polyamide; 8% Polyamide; 5% Elastane,Blue/Orange,39-42,Sustainable,Danish Endurance,Ankle/Quarter,Running,Flat Knit
182,INCYLENCE oHG,,White,35-38,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
183,INCYLENCE oHG,58% Microlon; 29% Polyamide; 9% Recycled Polyamide; 4% Elastane,White,39-42,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
184,INCYLENCE oHG,58% Microlon; 29% Polyamide; 9% Recycled Polyamide; 4% Elastane,White,43-46,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
185,Ecco Accessories Ltd,,Black,42-44,Oeko-Tex,N/A,Liner,Multisports,Half Terry
186,GripGrab ApS,,Black,41-44,Conventional,GripGrab,Crew/Mid Calf,Cycling,Flat Knit
187,INCYLENCE oHG,66% Recycled Polyamide; 31% Polyamide; 3% Elastane,White,43-46,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
188,GripGrab ApS,,Black,41-44,Conventional,GripGrab,Liner,Cycling,Flat Knit
189,Sidas,72% Polyamide; 24% Polypropylene; 4% Elastane,Black,L/42-43,Conventional,Thermic,Crew/Mid Calf,Hiking/Trekking,Flat Knit
190,Sidas,94% Polyamide; 6% Elastane,Bordeaux,37-38,Conventional,Sidas,Crew/Mid Calf,Ski,Selected Terry
191,INCYLENCE oHG,58% Microlon; 29% Polyamide; 9% Recycled Polyamide; 4% Elastane,White,35-38,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
192,INCYLENCE oHG,,White,39-42,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
193,INCYLENCE oHG,,White,43-46,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
194,INCYLENCE oHG,58% Microlon; 29% Polyamide; 9% Recycled Polyamide; 4% Elastane,White,35-38,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
195,INCYLENCE oHG,,White,39-42,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
196,INCYLENCE oHG,,White,43-46,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
197,INCYLENCE oHG,,White,35-38,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
198,INCYLENCE oHG,,White,39-42,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
199,INCYLENCE oHG,,White,43-46,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
200,KIWAMI SARL,50% Polyamide; 39% Polyester; 11% Elastane,Black,43-47,Conventional,Kiwami SARL,Calf Sleeve,Multisports,Flat Knit
201,Comfysocks A/S,,Black/Grey,41-45,Conventional,N/A,Knee High,Athleisure,Half Terry
202,Comfysocks A/S,43% Cotton; 27% Polypropylene; 25% Polyamide; 5% Elastane,Pink/Purple,32-35,Conventional,N/A,Crew/Mid Calf,Athleisure,Half Terry
203,Sidas,36% Merino Wool; 28% Polyamide; 13% Reconylon; 12% Mulberry Silk; 9% Elastane; 2% Silicone,Black,L/42/43,Conventional,Strolz,Knee High,Ski,Flat Knit
204,INCYLENCE oHG,49% Recycled Polyamide; 44% Econyl; 7% Recycled Elastane,Black,43-46,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
205,Ecco Accessories Ltd,,Bright White,42-44,Oeko-Tex,N/A,Liner,Multisports,Half Terry
206,INCYLENCE oHG,56% Polyamide; 40% Dryarn; 4% Elastane,Black,43-46,Conventional,Incylence,Crew/Mid Calf,Running,Flat Knit
207,Kirpte UAB,92% Polyamide; 8% Elastane,Black,T2 (M),Conventional,N/A,N/A,Running,Flat Knit
208,Gococo AB,,Black,S,Conventional,n/a,Crew/Mid Calf,Equestrianism,Flat Knit
209,Gococo AB,,Black,M,Conventional,n/a,Crew/Mid Calf,Equestrianism,Flat Knit
210,Gococo AB,,Black,L,Conventional,n/a,Crew/Mid Calf,Equestrianism,Flat Knit
211,INCYLENCE oHG,55% Recycled Polyamide; 41% Polyamide; 4% Elastane,White Pink,43-46,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
212,Ecco Accessories Ltd,,Bright White,42-44,Conventional,N/A,Liner,Multisports,Half Terry
213,Ecco Accessories Ltd,,Black,42-44,Conventional,N/A,Liner,Multisports,Half Terry
214,Ecco Accessories Ltd,,Bright White,39-41,Conventional,N/A,Liner,Multisports,Half Terry
215,Ecco Accessories Ltd,,Black,39-41,Conventional,N/A,Liner,Multisports,Half Terry
216,Compressport International SA,96% Polyamide; 4% Elastane,Imperial Blue,T3/42-44,Conventional,N/A,Crew/Mid Calf,Running,Half Terry
217,Ecco Accessories Ltd,,Black,42-44,Oeko-Tex,N/A,Liner,Multisports,Half Terry
218,Trimtex Baltic OÜ,86% Polyester; 10% Polyamide; 4% Elastane,White,35-38,Conventional,Trimtex,Crew/Mid Calf,Multisports,Half Terry
219,Trimtex Baltic OÜ,86% Polyester; 10% Polyamide; 4% Elastane,White,39-42,Conventional,Trimtex,Crew/Mid Calf,Multisports,Half Terry
220,Trimtex Baltic OÜ,86% Polyester; 10% Polyamide; 4% Elastane,White,43-46,Conventional,Trimtex,Crew/Mid Calf,Multisports,Half Terry
221,Boards&More GmbH,,Black,M/39-42,Conventional,ION BIKE,Crew/Mid Calf,Cycling,Flat Knit
222,Boards&More GmbH,63% Merino Wool; 30% Polyamide; 7% Elastane,Black,M/39-42,Conventional,ION BIKE,Crew/Mid Calf,Cycling,Flat Knit
223,INCYLENCE oHG,,White Pink,35-38,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
224,INCYLENCE oHG,55% Recycled Polyamide; 41% Polyamide; 4% Elastane,White Pink,35-38,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
225,INCYLENCE oHG,55% Recycled Polyamide; 41% Polyamide; 4% Elastane,White Pink,39-42,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
226,INCYLENCE oHG,,White Pink,47-50,Conventional,Incylence,Crew/Mid Calf,Cycling,Selected Terry
227,INCYLENCE oHG,50% Reconylon; 46% Polyamide; 4% Elastane,Grey/Neon Green,43-46,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
228,Sidas,,Grey/Black,42-43,Conventional,Sidas,Ankle/Quarter,Running,Half Terry
229,INCYLENCE oHG,61% Polyamide; 35% Dryarn; 4% Elastane,Blue,43-46,Conventional,Incylence,Crew/Mid Calf,Cycling,Flat Knit
230,WaterNlife ApS,46% Polyamide; 30% Merino Wool; 21% Acrylic; 3% Elastane,Black,43-47,Conventional,Danish Endurance,Crew/Mid Calf,Work,Flat Knit
231,INCYLENCE oHG,59% Polyamide; 37% Dryarn; 4% Elastane,Black,43-46,Conventional,Incylence,Crew/Mid Calf,Cycling,Flat Knit
232,Sidas,,Lilac/Green,42-43,Conventional,Sidas,Ankle/Quarter,Running,Half Terry
233,Picture Organic Clothing,90% Cotton; 7% Polyamide; 3% Elastane,Grey Melange,40-43,Conventional,Picture Organic Clothing,Crew/Mid Calf,Ski,Flat Knit
234,Sidas,38% Organic Merino Wool; 24% Econyl; 19% Reconylon; 10% Polyamide; 4% Recycled Elastane; 3% Elastane; 2% Silicone,White,42-43,Conventional,Sidas,Knee High,Ski,Selected Terry
235,Sidas,44% Recycled Polyamide; 41% Organic Merino Wool; 10% Polyamide; 3% Recycled Elastane; 2% Elastane,Storm Grey,42-44,Conventional,Sidas,Knee High,Ski,Selected Terry
236,Sidas,44% Recycled Polyamide; 41% Organic Merino Wool; 10% Polyamide; 3% Recycled Elastane; 2% Elastane,Bege,37-38,Conventional,Sidas,Knee High,Ski,Selected Terry
237,Ecco Accessories Ltd,,Air,42-44,Oeko-Tex,N/A,Liner,Multisports,Half Terry
238,Domestik ApS,97% Recycled Polyamide; 2% Recycled Elastane; 1% Elastane,White,L (43-46),Conventional,Domestik,Crew/Mid Calf,Multisports,Flat Knit
239,Sidas,42% Polyamide; 38% Merino Wool; 17% Polypropylene; 3% Elastane,Grey/Mint,42-44,Conventional,Thermic,Knee High,Multisports,Full Terry
240,Orange Sport,73% Merino Wool; 25% Polyamide; 2% Elastane,Olive Green,36-39,Conventional,Orange Sport,Knee High,Hunting,Full Terry
241,Orange Sport,67% Merino Wool; 32% Polyamide; 1% Elastane,Olive Green,44-45,Conventional,Orange Sport,Crew/Mid Calf,Hunting,Half Terry
242,Sidas,,Black,L,Conventional,Sidas,Knee High,Multisports,Half Terry
243,Comfysocks A/S,43% Cotton; 27% Polypropylene; 25% Polyamide; 5% Elastane,Black/Grey,41-45,Conventional,N/A,Crew/Mid Calf,Athleisure,Half Terry
244,Canyon Bicycles GmbH,50% Multifilament Polyamide; 17% Polyamide; 17% Polypropylene; 16% Elastane,Black,S/M,Conventional,N/A,Calf Sleeve,Multisports,Flat Knit
245,NoBrakes ApS,67% Organic Cotton; 31% Polyamide; 2% Elastane,White/Black,40-46,Conventional,Woodbird,Crew/Mid Calf,Basic,Half Terry
246,NoBrakes ApS,71% Organic Cotton; 26% Polyamide; 3% Elastane,White,40-46,Sustainable,Woodbird,Crew/Mid Calf,Tennis,Half Terry
247,NoBrakes ApS,71% Organic Cotton; 26% Polyamide; 3% Elastane,Black,40-46,Sustainable,Woodbird,Crew/Mid Calf,Tennis,Half Terry
248,NoBrakes ApS,71% Organic Cotton; 26% Polyamide; 3% Elastane,Butter,40-46,Sustainable,Woodbird,Crew/Mid Calf,Tennis,Half Terry
249,Sidas,44% Polyamide; 35% Merino Wool; 18% Polypropylene; 3% Elastane,Grey/Mint,42-44,Conventional,Thermic,Crew/Mid Calf,Multisports,Full Terry
250,Sidas,33% Polyamide; 29% Lyocell; 19% Merino Wool; 16% Polypropylene; 3% Elastane,Blue/Mint,42-44,Conventional,Thermic,Knee High,Multisports,Full Terry
251,Sidas,36% Merino Wool; 28% Polyamide; 13% Reconylon; 12% Mulberry Silk; 9% Elastane; 2% Silicone,Black/Neon Yellow,L/43-44,Conventional,Sidas,Knee High,Multisports,Flat Knit
252,Sidas,29% Polyamide; 28% Tencel; 19% Merino Wool; 11% Elastane; 11% Reconylon; 2% Silicone,Blue/Neon Yellow,L/43-44,Conventional,Sidas,Knee High,Multisports,Flat Knit
253,Compressport International SA,36% Multifilament Polyamide; 35% Elastane; 29% Polyamide,Black,T3/42-44,Conventional,N/A,Knee High,Multisports,Half Terry
254,Compressport International SA,61% Polyamide; 29% Multifilament Polyamide; 10% Elastane,Black,T3/42-44,Conventional,N/A,Knee High,Multisports,Half Terry
255,Pas Normal Studios ApS,90% Recycled Polyamide; 8% Polyamide; 2% Elastane,White/Black,M,Sustainable,Pas Normal Studios,Crew/Mid Calf,Cycling,Flat Knit
256,WaterNlife ApS,,Black/Grey,43-47,Conventional,Danish Endurance,Crew/Mid Calf,Hiking/Trekking,Half Terry
257,Scan Trade Scandinavia AB,89% Polyamide; 11% Elastane,Black,30-34,Conventional,Scan Trade Umbro,Over the Knee,Football,Full Terry
258,Norrøna Sport AS,,Indigo Night /Flintsone,40-42,Conventional,Norrona Sokker,Crew/Mid Calf,Hiking/Trekking,Flat Knit
259,Ryzon GmbH,97% Polyamide; 3% Elastane,White,T2,Conventional,Ryzon,N/A,Cycling,Flat Knit
260,Ryzon GmbH,97% Polyamide; 3% Elastane,White,T2,Conventional,Ryzon,N/A,Cycling,Flat Knit
261,Ryzon GmbH,94% Polyamide; 6% Elastane,White,39-42,Conventional,Ryzon,Crew/Mid Calf,Cycling,Flat Knit
262,Ryzon GmbH,94% Polyamide; 6% Elastane,White,39-42,Conventional,Ryzon,Crew/Mid Calf,Cycling,Flat Knit
263,BERGMENSCH GmbH,,Heather Grey,38-42,Conventional,BERGMENSCH,Crew/Mid Calf,Hiking/Trekking,Half Terry
264,VAUDE Sport GmbH & Co. KG,,White,39-41,Conventional,Vaude,Crew/Mid Calf,Cycling,Flat Knit
265,Sidas,53% Polyamide; 32% Multifilament Polyamide; 9% Silicone; 5% Elastane; 1% Reflective Yarns,Grey/Neon Orange,42-43,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
266,Sidas,53% Polyamide; 32% Multifilament Polyamide; 9% Silicone; 5% Elastane; 1% Reflective Yarns,Navy/Grey,42-43,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
267,Compressport International SA,98% Polyamide; 2% Elastane,Black,TU,Conventional,N/A,N/A,Multisports,Half Terry
268,VAUDE Sport GmbH & Co. KG,69% Recycled Polyamide; 26% Polyamide; 5% Elastane,White,39-41,Conventional,Vaude,Crew/Mid Calf,Cycling,Half Terry
269,Compressport International SA,96% Polyamide; 4% Elastane,White/Blue/Yellow,T3/42-44,Conventional,N/A,Crew/Mid Calf,Multisports,Half Terry
