IDX,nomeCliente,composition,color,size,certification,brand,designLenght,sport,knittingType
732,POULET VINAIGRETTE,77% Cotton; 22% Polyamide; 1% Elastane,SORTIE MER,37/42,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
733,POULET VINAIGRETTE,83% Cotton; 16% Polyamide; 1% Elastane,FLAMMES DE PÊCHE,37/42,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
734,POULET VINAIGRETTE,77% Cotton; 22% Polyamide; 1% Elastane,AU BOUT DU FIL,37/42,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
735,POULET VINAIGRETTE,78% Cotton; 21% Polyamide; 1% Elastane,PHARE OUEST,37/42,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
736,POULET VINAIGRETTE,78% Cotton; 21% Polyamide; 1% Elastane,REMUER CIEL ET MER,37/42,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
737,POULET VINAIGRETTE,75% Cotton; 24% Polyamide; 1% Elastane,BANC D'ÉCAILLES,37/42,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
738,POULET VINAIGRETTE,78% Cotton; 21% Polyamide; 1% Elastane,PÊCHE AU GROS,37/42,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
739,POULET VINAIGRETTE,83% Cotton; 16% Polyamide; 1% Elastane,J'EN AI PLEIN LE CASIER,37/42,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
740,POULET VINAIGRETTE,83% Cotton; 16% Polyamide; 1% Elastane,PÊCHEUR DU DIMANCHE,37/42,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
741,POULET VINAIGRETTE,83% Cotton; 16% Polyamide; 1% Elastane,PÊCHE À LA LIGNE,37/42,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
742,POULET VINAIGRETTE,79% Cotton; 20% Polyamide; 1% Elastane,PIÈGE EN EAUX TROUBLES,37/42,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
743,Brav Norway AS,,Stock,37-39,Conventional,Ulvang,Crew/Mid Calf,Multisports,Flat Knit
744,Brav Norway AS,,Stock,37-39,Conventional,Ulvang,Knee High,Multisports,Flat Knit
745,POULET VINAIGRETTE,,"À MOI, À MOI, À MOI",31/36,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
746,POULET VINAIGRETTE,,"À MOI, À MOI, À MOI",43/47,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
747,Lipati ApS,,White,41-43,Conventional,n/a,Crew/Mid Calf,Multisports,Selected Terry
748,POULET VINAIGRETTE,,DIS OUI À DINAN,37/42,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
749,POULET VINAIGRETTE,,DIS OUI À DINAN,37/42,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Basic,Flat Knit
750,Compressport International SA,65% Polyamide; 35% Elastane,Magnet/Autumn Glory,T4,Conventional,N/A,Calf Sleeve,Multisports,Flat Knit
751,WaterNlife ApS,,Navy Blue,43-47,Conventional,Danish Endurance,Crew/Mid Calf,Hiking/Trekking,Half Terry
752,VAUDE Sport GmbH & Co. KG,56% Recycled Polyamide; 43% Merino Wool; 1% Elastane,Grey Melange,39-41,Sustainable,Vaude,Ankle/Quarter,Hiking/Trekking,Half Terry
753,Tracksmith,56% Merino Wool; 41% Polyamide; 3% Elastane,Anthracite/Birch,SM/38-40,Conventional,Tracksmith,Crew/Mid Calf,Basic,Half Terry
754,Compressport International SA,,Faded Denim/Poseidon/Safety Yellow,T2/ 39-41,Conventional,N/A,Crew/Mid Calf,Multisports,Half Terry
755,Compressport International SA,,Faded Denim/Poseidon/Safety Yellow,T3/ 42-44,Conventional,N/A,Crew/Mid Calf,Multisports,Half Terry
756,VAUDE Sport GmbH & Co. KG,56% Recycled Polyamide; 43% Merino Wool; 1% Elastane,Grey Melange,42-44,Sustainable,Vaude,Ankle/Quarter,Hiking/Trekking,Half Terry
757,VAUDE Sport GmbH & Co. KG,56% Recycled Polyamide; 43% Merino Wool; 1% Elastane,Dark Sea,39-41,Sustainable,Vaude,Ankle/Quarter,Hiking/Trekking,Half Terry
